DataType,Date,Station id,Value,Station name,Latitude,Longitude
WSF5,2017-08-20,GHCND:USW00012926,23.9,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF5,2017-08-20,GHCND:USW00012972,19.9,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF5,2017-08-20,GHCND:USW00012946,25.9,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
WSF5,2017-08-21,GHCND:USW00012926,23.9,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF5,2017-08-21,GHCND:USW00012946,23.9,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
WSF5,2017-08-21,GHCND:USW00012972,23.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF5,2017-08-22,GHCND:USW00012946,25.9,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333
WSF5,2017-08-22,GHCND:USW00012972,21.0,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF5,2017-08-22,GHCND:USW00012926,29.1,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF5,2017-08-23,GHCND:USW00012972,23.9,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF5,2017-08-23,GHCND:USW00012926,23.9,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF5,2017-08-24,GHCND:USW00012926,36.9,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF5,2017-08-24,GHCND:USW00012972,33.1,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF5,2017-08-25,GHCND:USW00012972,69.1,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF5,2017-08-26,GHCND:USW00012926,64.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF5,2017-08-27,GHCND:USW00012926,46.1,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF5,2017-08-28,GHCND:USW00012926,47.0,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF5,2017-08-29,GHCND:USW00012972,35.1,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08361,-97.04639
WSF5,2017-08-29,GHCND:USW00012926,33.1,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF5,2017-08-30,GHCND:USW00012926,14.1,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
WSF5,2017-08-31,GHCND:USW00012926,14.1,"CORPUS CHRISTI NAS, TX US",27.68333,-97.28333
