DataType,Date,Station id,Value,Station name,Latitude,Longitude
PRCP,2005-08-24,GHCND:USC00161292,0.08,"BURAS, LA US",29.34139,-89.51583
PRCP,2005-08-24,GHCND:USC00169013,0.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-08-24,GHCND:USC00166394,0.02,"MORGAN CITY, LA US",29.6833,-91.1761
PRCP,2005-08-24,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-24,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-24,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-24,GHCND:USC00165926,0.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
PRCP,2005-08-24,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-24,GHCND:USW00012884,0.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
PRCP,2005-08-25,GHCND:USC00165926,0.8,"MARRERO 9 SSW, LA US",29.7852,-90.1158
PRCP,2005-08-25,GHCND:USC00163433,0.01,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-25,GHCND:USC00163433,0.01,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-25,GHCND:USC00161292,0.08,"BURAS, LA US",29.34139,-89.51583
PRCP,2005-08-25,GHCND:USC00169013,0.21,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-08-25,GHCND:USC00166394,0.05,"MORGAN CITY, LA US",29.6833,-91.1761
PRCP,2005-08-25,GHCND:USC00163433,0.01,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-25,GHCND:USC00163433,0.01,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-25,GHCND:USW00012884,0.65,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
PRCP,2005-08-26,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-26,GHCND:USC00169013,0.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-08-26,GHCND:USW00012884,0.04,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
PRCP,2005-08-26,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-26,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-26,GHCND:USC00166394,0.0,"MORGAN CITY, LA US",29.6833,-91.1761
PRCP,2005-08-26,GHCND:USC00165926,0.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
PRCP,2005-08-26,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-26,GHCND:USC00161292,0.08,"BURAS, LA US",29.34139,-89.51583
PRCP,2005-08-27,GHCND:USC00166394,0.21,"MORGAN CITY, LA US",29.6833,-91.1761
PRCP,2005-08-27,GHCND:USC00169013,0.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-08-27,GHCND:USC00163433,0.07,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-27,GHCND:USC00163433,0.07,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-27,GHCND:USW00012884,0.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
PRCP,2005-08-27,GHCND:USC00165926,0.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
PRCP,2005-08-27,GHCND:USC00163433,0.07,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-27,GHCND:USC00163433,0.07,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-28,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-28,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-28,GHCND:USC00169013,0.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-08-28,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-28,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-28,GHCND:USC00166394,0.0,"MORGAN CITY, LA US",29.6833,-91.1761
PRCP,2005-08-29,GHCND:USC00169013,3.94,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-08-30,GHCND:USC00169013,1.07,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-08-31,GHCND:USC00163433,0.01,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-31,GHCND:USC00163433,0.01,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-31,GHCND:USC00163433,0.01,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-08-31,GHCND:USC00169013,0.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-08-31,GHCND:USC00166394,0.0,"MORGAN CITY, LA US",29.6833,-91.1761
PRCP,2005-08-31,GHCND:USC00163433,0.01,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-01,GHCND:USC00169013,0.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-09-01,GHCND:USC00162536,0.0,"DONALDSONVILLE 4 E, LA US",30.0992,-90.9269
PRCP,2005-09-01,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-01,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-01,GHCND:USC00166394,0.36,"MORGAN CITY, LA US",29.6833,-91.1761
PRCP,2005-09-01,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-01,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-02,GHCND:USC00162536,0.07,"DONALDSONVILLE 4 E, LA US",30.0992,-90.9269
PRCP,2005-09-02,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-02,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-02,GHCND:USC00169013,0.71,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-09-02,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-02,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-02,GHCND:USC00166394,0.03,"MORGAN CITY, LA US",29.6833,-91.1761
PRCP,2005-09-03,GHCND:USC00169013,0.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-09-03,GHCND:USC00166394,0.0,"MORGAN CITY, LA US",29.6833,-91.1761
PRCP,2005-09-03,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-03,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-03,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-03,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-03,GHCND:USC00162536,0.0,"DONALDSONVILLE 4 E, LA US",30.0992,-90.9269
PRCP,2005-09-04,GHCND:USC00166394,0.0,"MORGAN CITY, LA US",29.6833,-91.1761
PRCP,2005-09-04,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-04,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-04,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-04,GHCND:USC00163433,0.0,"GALLIANO, LA US",29.4631,-90.3072
PRCP,2005-09-04,GHCND:USC00169013,0.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
PRCP,2005-09-04,GHCND:USC00162536,0.0,"DONALDSONVILLE 4 E, LA US",30.0992,-90.9269
