DataType,Date,Station id,Value,Station name,Latitude,Longitude
TMAX,2005-08-24,GHCND:USC00161292,91.0,"BURAS, LA US",29.34139,-89.51583
TMAX,2005-08-24,GHCND:USC00163433,94.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-24,GHCND:USC00163433,94.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-24,GHCND:USC00169013,95.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-08-24,GHCND:USC00163433,94.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-24,GHCND:USC00165926,94.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
TMAX,2005-08-24,GHCND:USC00163433,94.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-24,GHCND:USW00012884,92.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
TMAX,2005-08-24,GHCND:USC00166394,94.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMAX,2005-08-25,GHCND:USC00166394,94.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMAX,2005-08-25,GHCND:USC00165926,92.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
TMAX,2005-08-25,GHCND:USW00012884,91.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
TMAX,2005-08-25,GHCND:USC00161292,92.0,"BURAS, LA US",29.34139,-89.51583
TMAX,2005-08-25,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-25,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-25,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-25,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-25,GHCND:USC00169013,94.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-08-26,GHCND:USC00169013,92.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-08-26,GHCND:USC00166394,91.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMAX,2005-08-26,GHCND:USC00163433,90.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-26,GHCND:USC00163433,90.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-26,GHCND:USC00161292,91.0,"BURAS, LA US",29.34139,-89.51583
TMAX,2005-08-26,GHCND:USW00012884,89.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
TMAX,2005-08-26,GHCND:USC00165926,92.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
TMAX,2005-08-26,GHCND:USC00163433,90.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-26,GHCND:USC00163433,90.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-27,GHCND:USC00163433,91.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-27,GHCND:USC00165926,94.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
TMAX,2005-08-27,GHCND:USW00012884,90.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
TMAX,2005-08-27,GHCND:USC00166394,94.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMAX,2005-08-27,GHCND:USC00163433,91.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-27,GHCND:USC00163433,91.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-27,GHCND:USC00169013,94.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-08-27,GHCND:USC00163433,91.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-28,GHCND:USW00012884,86.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
TMAX,2005-08-28,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-28,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-28,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-28,GHCND:USC00166394,94.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMAX,2005-08-28,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-28,GHCND:USC00169013,90.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-08-29,GHCND:USC00169013,91.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-08-29,GHCND:USC00166394,91.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMAX,2005-08-30,GHCND:USC00166394,84.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMAX,2005-08-30,GHCND:USC00169013,85.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-08-30,GHCND:USC00163433,87.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-30,GHCND:USC00163433,87.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-30,GHCND:USC00163433,87.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-30,GHCND:USC00163433,87.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-31,GHCND:USC00163433,88.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-31,GHCND:USC00166394,89.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMAX,2005-08-31,GHCND:USC00169013,90.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-08-31,GHCND:USC00163433,88.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-31,GHCND:USC00163433,88.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-08-31,GHCND:USC00163433,88.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-09-01,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-09-01,GHCND:USC00166394,91.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMAX,2005-09-01,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-09-01,GHCND:USC00169013,94.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-09-01,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-09-01,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-09-02,GHCND:USC00166394,91.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMAX,2005-09-02,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-09-02,GHCND:USC00169013,90.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-09-02,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-09-02,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-09-02,GHCND:USC00163433,92.0,"GALLIANO, LA US",29.4631,-90.3072
TMAX,2005-09-03,GHCND:USC00169013,92.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMAX,2005-09-03,GHCND:USC00166394,91.0,"MORGAN CITY, LA US",29.6833,-91.1761
